class,TFRC,CD26,MIG6,GAPDH,INPP4B,FOXM1,NF2,ACVRL1,IGFBP2,X4EBP1
1,-0.9697,-0.054485,0.20918,-2.8868,-0.080924,-0.88345,-0.030849,-0.042988,0.20809,-0.61166
1,-1.0184,0.75918,0.068679,-3.0092,-0.4816,-0.79892,0.33756,-0.020803,-0.95323,-0.5719
1,-1.2428,0.25366,-0.004063,-2.3358,0.25033,-0.67362,0.0021332,-0.13432,-0.30008,-0.15249
1,2.3123,-0.2861,-0.020208,-3.1612,-0.43455,-0.21171,0.20352,0.29984,1.1508,-0.053378
1,-0.5176,-0.1852,0.3017,-1.5026,2.4682,-0.37374,-0.099727,-0.02649,1.2447,-0.57647
1,-0.75098,-0.11221,0.32538,-3.065,-0.3251,-0.75113,-0.66082,-0.31201,-0.84289,-0.13111
1,-0.79914,-0.10186,-0.057187,-2.5473,0.83022,-0.65731,-0.032613,-0.056651,-0.85783,-0.28681
1,-0.70682,-0.10764,0.063616,-0.48167,1.3936,-0.51697,0.045025,-0.28361,2.4531,-0.10887
1,-0.90371,0.14416,0.011569,-2.9887,0.85913,-0.76418,-0.29575,-0.24693,-0.10064,-0.83746
1,0.29787,-0.35163,-0.12469,-1.2665,-0.41369,-0.00044644,-0.79311,-0.20804,0.62721,0.29742
1,0.29588,0.73058,-0.021776,-4.8078,-0.36671,-0.22221,-0.66733,0.0039849,-0.42466,0.59042
1,-0.13431,-0.25808,0.028608,-2.7687,0.37147,0.33929,-0.19327,-0.37078,-0.37227,-0.25591
1,-0.63119,0.56514,0.19201,-1.9938,2.6283,-0.69626,-0.80327,-0.25419,-0.36125,-0.61142
1,-1.617,0.50237,0.18619,-2.4189,-0.14532,-0.91895,0.26107,-0.26575,-1.0378,-0.57133
1,-0.6642,-0.10187,0.037551,-2.5951,1.1856,-0.31211,-0.025571,-0.24805,-0.79608,-0.24546
1,0.39651,0.13225,-0.0016089,-2.3634,0.60883,9.05E-05,0.36892,-0.31081,0.070488,-0.34648
1,-0.3464,0.14746,0.19673,-1.5676,1.6305,-0.54562,0.47397,-0.18667,-0.90982,0.084254
1,-0.33355,-0.14016,0.18762,-2.7565,0.85412,-0.44359,-0.28822,-0.11277,-0.88954,-0.34597
1,-0.052168,-0.38837,0.097725,-0.010525,1.7087,0.28132,-0.077216,-0.26975,2.0764,0.86877
1,-0.81357,0.09466,0.28319,-2.8251,1.5101,-0.46426,-0.28255,-0.080329,-1.0706,-0.54209
1,-0.40653,-0.10202,0.82453,-1.7806,-0.63461,-0.56258,0.7668,-0.28756,-0.92631,0.3791
1,-0.22245,-0.36827,0.27694,-2.7217,1.7296,-0.80122,0.16654,-0.33782,-0.83508,-0.91507
1,0.60603,-0.16644,0.43195,-1.1138,0.81212,-0.15935,-0.080805,-0.10705,-1.0391,0.26577
